crime_type,year,total
murder_manslaughter,2001,15806
murder_manslaughter,2002,15965
murder_manslaughter,2003,16279
murder_manslaughter,2004,15950
murder_manslaughter,2005,16545
murder_manslaughter,2006,17140
murder_manslaughter,2007,16947
murder_manslaughter,2008,16279
murder_manslaughter,2009,15254
murder_manslaughter,2010,14590
murder_manslaughter,2011,14553
murder_manslaughter,2012,14778
murder_manslaughter,2013,14216
murder_manslaughter,2014,14144
murder_manslaughter,2015,14925
murder_manslaughter,2016,17277
rape_legacy,2001,90682
rape_legacy,2002,94973
rape_legacy,2003,93609
rape_legacy,2004,94867
rape_legacy,2005,94181
rape_legacy,2006,94287
rape_legacy,2007,91968
rape_legacy,2008,90564
rape_legacy,2009,89091
rape_legacy,2010,85406
rape_legacy,2011,84002
rape_legacy,2012,84905
rape_legacy,2013,81812
rape_legacy,2014,83689
rape_legacy,2015,85430
rape_legacy,2016,85329
robbery,2001,419777
robbery,2002,416972
robbery,2003,410294
robbery,2004,398268
robbery,2005,413738
robbery,2006,445417
robbery,2007,443059
robbery,2008,439133
robbery,2009,404338
robbery,2010,364764
robbery,2011,350678
robbery,2012,351014
robbery,2013,341013
robbery,2014,322305
robbery,2015,299696
robbery,2016,329297
agg_assault,2001,904020
agg_assault,2002,886445
agg_assault,2003,854433
agg_assault,2004,843413
agg_assault,2005,858249
agg_assault,2006,869507
agg_assault,2007,862671
agg_assault,2008,839976
agg_assault,2009,809124
agg_assault,2010,778462
agg_assault,2011,749365
agg_assault,2012,758504
agg_assault,2013,722740
agg_assault,2014,737166
agg_assault,2015,715770
agg_assault,2016,797915
